PROCESS_CHAIN_1;Ryan Inc;France;Clermont-Ferrand;14;8;Machining;OBJ;1;549;568;369;61;Titanium;Blasting;30.06.2019;27.06.2019
PROCESS_CHAIN_2;Moore-Mueller;France;Perpignan;22;5;Machining;OBJ;0;407;690;722;36;Aluminium;Sanding;13.07.2019;04.10.2018
PROCESS_CHAIN_3;Blanda, Kemmer and Kuhic;France;Paris 01;45;10;Machining;STL;0;632;505;207;37;Hardwood;Welding;13.06.2019;28.12.2018
PROCESS_CHAIN_4;Smith Inc;Portugal;Louriceira;21;2;Machining;VRML/X3D;1;243;508;523;81;Carbon steel;Welding;18.07.2019;26.11.2018
PROCESS_CHAIN_5;Von, Fritsch and Waters;France;Paris 14;29;5;Machining;STEP;0;412;576;423;66;Hardwood;Blasting;21.07.2019;05.12.2018
PROCESS_CHAIN_6;Rolfson-Schumm;Portugal;Estoril;41;1;Machining;OBJ;0;489;496;44;52;Alloy;Polishing;23.06.2019;17.08.2019
PROCESS_CHAIN_7;Murray and Sons;Portugal;Trinaterra;24;4;Machining;OBJ;1;414;562;340;45;Carbon steel;Sanding;08.07.2019;28.04.2019
PROCESS_CHAIN_8;Oberbrunner, Mills and Stark;Portugal;Oliveira;32;6;Machining;COLLADA;1;483;465;403;22;Tungsten carbide;Drilling;26.06.2019;16.11.2018
PROCESS_CHAIN_9;Dach, Purdy and Baumbach;Portugal;Moutas;48;3;Machining;STL;1;495;382;378;67;Tungsten;Turning;01.07.2019;10.08.2019
PROCESS_CHAIN_10;Deckow-Tremblay;Poland;Lelkowo;17;1;Machining;VRML/X3D;1;430;387;219;76;Alloy;Welding;18.07.2019;13.11.2019
PROCESS_CHAIN_11;Romaguera Group;Spain;Gijon;35;10;Machining;VRML/X3D;1;466;738;761;73;Tungsten carbide;Milling;22.07.2019;26.04.2019
PROCESS_CHAIN_12;Lakin-Miller;Poland;Kwidzyn;30;10;Machining;3DS;1;732;407;490;36;Hardwood;Polishing;27.06.2019;09.03.2019
PROCESS_CHAIN_13;Raynor-Waters;France;Guéret;48;2;Machining;3DS;1;581;543;156;100;Iron;Turning;15.06.2019;01.03.2019
PROCESS_CHAIN_14;Leffler-Douglas;Portugal;Leitões;45;8;Machining;STEP;1;718;441;353;99;Carbon steel;Milling;05.06.2019;19.06.2019
PROCESS_CHAIN_15;Moore and Sons;Portugal;Nogueira da Regedoura;31;10;Machining;IGES;0;272;535;622;50;Titanium;Laser cutting;14.07.2019;04.05.2019
PROCESS_CHAIN_16;Daugherty, Hilll and Mosciski;France;Marne-la-Vallée;49;9;Machining;OBJ;1;319;511;939;22;Aluminium;Milling;29.07.2019;16.03.2019
PROCESS_CHAIN_17;Heidenreich-O'Hara;Portugal;Ariz;39;10;Machining;STEP;0;601;422;159;69;Iron;Laser cutting;24.07.2019;14.09.2018
PROCESS_CHAIN_18;Mante, Bernier and Rempel;Poland;Baćkowice;36;10;Machining;STL;0;593;373;451;68;Tungsten;Welding;05.07.2019;23.01.2019
