810;Hansen-Flatley;Seaton;United Kingdom;9;100;LEED,ISO14000,QS9000;CompactedGraphiteIron;Milling;MillingMachine;2019-03-01;2019-05-15
894;Schoen Inc;Tarnowskie Góry;Poland;2;125;ISO9001,ISO14000;LowAlloySteel;CNCMilling;ComputerControlledMachineTool;2019-03-01;2019-05-15
152;Tremblay-Huels;Paris 02;France;6;50;ISO9000,ISO14000;GrayIron;WireEDM;EDMMachine;2019-02-01;2019-04-15
242;Goodwin-Davis;São Martinho do Campo;Portugal;2;75;MIL,ISO14000,ISO9004;MartensiticStainlessSteel;Milling;MillingMachine;2019-02-01;2019-04-15
124;Hane, Smith and Spinka;Levallois-Perret;France;7;50;MIL,ISO9002;Steel;Milling;MillingMachine;2019-02-15;2019-05-01
94;Schowalter-Grant;Łomża;Poland;1;100;LEED,AS9100;HighCarbonSteel;CNCTurning;CNCTurnMachine;2019-01-15;2019-04-01
277;Wiegand, MacGyver and Witting;Suchań;Poland;8;50;ISO9001,MIL,ISO9004;CompactedGraphiteIron;WireEDM;EDMMachine;2019-02-01;2019-04-15
657;Waelchi, Hyatt and Marquardt;Barlinek;Poland;6;75;ISO9003,ISO9002,AS9100;CastIron;PrecisionMilling;ComputerControlledMachineTool;2019-03-01;2019-05-15
72;Wunsch-Brekke;London;United Kingdom;7;100;ISO9003,QS9000,ISO9004;StainlessSteel_400;HorizontalMilling;HorizontalMillingMachine;2019-02-01;2019-04-15
439;VonRueden-Stiedemann;Fresnes;France;8;100;ISO9001,ISO9002,LEED;StainlessSteel_316;WireEDM;EDMMachine;2019-02-15;2019-05-01
249;Konopelski, Beatty and Wisoky;Arnhem;Netherlands;8;75;ISO9000,ISO9003,AS9000;LowCarbonSteel;HoleMaking;EDMDrillingMachine;2019-03-01;2019-05-15
826;Lindgren, Williamson and Brekke;Potok Złoty;Poland;6;75;ISO9001,LEED,QS9000;StainlessSteel_302;WireEDM;EDMMachine;2019-02-15;2019-05-01
146;Fahey Group;São Paio de Gramaços;Portugal;8;75;ISO9000,QS9000,AS9100;Steel;LaserBeamCutting;LaserCuttingMachine;2019-02-15;2019-05-01
801;Rau-Tillman;Sypniewo;Poland;6;75;ISO9000,ISO9003,AS9000;StainlessSteel;Planing;ShaperMachine;2019-03-01;2019-05-15
211;MacGyver, Moore and Christiansen;Marne-la-Vallée;France;6;125;ISO9004,AS9000;WhiteIron;HorizontalMilling;HorizontalMillingMachine;2019-01-01;2019-03-15
147;Botsford-Kerluke;Tojeira;Portugal;3;100;ISO9001,QS9000,AS9000;CarbonSteel;LaserBeamCutting;LaserCuttingMachine;2019-01-15;2019-04-01
309;Reichert-Runolfsson;Barcelona;Spain;1;75;ISO9001,AS9100;StainlessSteel_302;WireEDM;EDMMachine;2019-02-01;2019-04-15
113;Beatty and Sons;Monte de Trigo;Portugal;4;125;ISO9003,ISO9002,ISO14000;AusteniticStainlessSteel;CNCTurning;CNCTurnMachine;2019-01-15;2019-04-01
642;Homenick, Kling and Roob;Saint-Gratien;France;6;100;QS9000,AS9100,ISO9004;CastIron;Milling;MillingMachine;2019-03-01;2019-05-15
533;Murphy LLC;Trabulheira;Portugal;4;100;ISO9003,LEED,AS9000;LowCarbonSteel;VerticalMilling;VerticalMillingMachine;2019-01-01;2019-03-15
486;Sawayn LLC;Alcains;Portugal;5;125;ISO9001,ISO9002,QS9000;MartensiticStainlessSteel;CNCTurning;CNCTurnMachine;2019-01-01;2019-03-15
644;Champlin LLC;Reims;France;1;150;ISO9001,LEED;AusteniticStainlessSteel;LaserBeamCutting;LaserCuttingMachine;2019-02-15;2019-05-01
127;Goodwin-Waelchi;Libourne;France;10;75;MIL,ISO14000;Steel;Planing;ShaperMachine;2019-02-15;2019-05-01
106;Jaskolski LLC;Chojnice;Poland;5;75;ISO9000,ISO9003,AS9000;CastIron;Milling;MillingMachine;2019-02-01;2019-04-15
586;Nitzsche-Miller;Trabulheira;Portugal;10;150;MIL,ISO9000,ISO9004;MalleableIron;CNCTurning;CNCTurnMachine;2019-02-01;2019-04-15
581;Homenick, Bode and Luettgen;Rio de Moinhos;Portugal;6;75;ISO9001,ISO9002,ISO9004;StainlessSteel_304;HoleMaking;EDMDrillingMachine;2019-01-15;2019-04-01
782;Brekke, Cummerata and Padberg;Główczyce;Poland;4;100;ISO9000,ISO14000,QS9000;Steel;GearHobbing;GearShaperMachine;2019-02-15;2019-05-01
343;Hessel, Walter and Stamm;Lyon;France;5;75;ISO9002,LEED,ISO14000;MediumCarbonSteel;Planing;ShaperMachine;2019-01-01;2019-03-15
92;Spencer, Ritchie and Ziemann;Raciążek;Poland;7;125;ISO14000,ISO9004;CarbonSteel;Shaping;ShaperMachine;2019-03-01;2019-05-15
783;Johnston Group;Melun;France;6;100;ISO9002,ISO14000,ISO9004;LowAlloySteel;Milling;MillingMachine;2019-02-15;2019-05-01
