683;Kunze-Yost;Montpellier;France;4;150;MIL,ISO9000,ISO9002;StainlessSteel_400;PrecisionMilling;ComputerControlledMachineTool;2019-01-01;2019-03-15
812;Kemmer-King;Koźle;Poland;8;50;ISO9000,ISO9004,AS9000;StainlessSteel_316;CNCTurning;CNCTurnMachine;2019-01-15;2019-04-01
610;Grant, Bosco and Reichert;Hendaye;France;3;50;ISO9000,ISO9003,AS9000;StainlessSteel;HoleMaking;EDMDrillingMachine;2019-02-01;2019-04-15
431;Ratke Inc;Mont-de-Marsan;France;1;50;ISO9003,QS9000;WhiteIron;HorizontalMilling;HorizontalMillingMachine;2019-02-15;2019-05-01
497;Terry-Considine;Boucinha;Portugal;9;125;ISO9000,MIL,LEED;StainlessSteel_304;WaterJetCutting;WaterJetCuttingMachine;2019-01-15;2019-04-01
796;Auer, Yundt and Friesen;Noyal-sur-Vilaine;France;10;125;ISO9000;CarbonSteel;WaterJetCutting;WaterJetCuttingMachine;2019-01-01;2019-03-15
438;Lang, Toy and Jerde;Podgórzyn;Poland;10;100;LEED,ISO14000,QS9000;StainlessSteel_400;Planing;ShaperMachine;2019-01-01;2019-03-15
687;Auer and Sons;Vila Nova de Santo André;Portugal;5;125;ISO9002,QS9000;MediumCarbonSteel;PrecisionMilling;ComputerControlledMachineTool;2019-01-01;2019-03-15
198;Steuber, Durgan and Orn;Nantes;France;1;100;LEED,ISO14000,AS9000;AusteniticStainlessSteel;WireEDM;EDMMachine;2019-02-15;2019-05-01
777;Goodwin LLC;Nantes;France;5;150;LEED,ISO9004;CastIron;CNCTurning;CNCTurnMachine;2019-01-01;2019-03-15
642;Homenick, Kling and Roob;Saint-Gratien;France;6;125;ISO9001,LEED;WhiteIron;GearHobbing;GearShaperMachine;2019-02-01;2019-04-15
338;Schoen-Wolf;Marteleira;Portugal;2;50;ISO9004,QS9000;StainlessSteel;ManualMilling;ManualMachineTool;2019-01-01;2019-03-15
634;Dickens and Sons;Saint-Germain-en-Laye;France;6;150;ISO14000,ISO9004;Steel;Planing;ShaperMachine;2019-02-15;2019-05-01
464;Ullrich LLC;Winterthur;Switzerland;1;75;ISO9000,ISO9003;AlloySteel;Shaping;ShaperMachine;2019-02-15;2019-05-01
306;Weissnat-Schuppe;Przelewice;Poland;6;50;MIL,ISO9003,ISO9002;AusteniticStainlessSteel;ElectricalDischargeMachining;EDMMachine;2019-01-01;2019-03-15
430;Keebler-Cremin;Zambujal;Portugal;6;150;LEED,QS9000,AS9000;StainlessSteel_316;CNCMilling;ComputerControlledMachineTool;2019-01-01;2019-03-15
134;Reilly-Walter;Abuxarda;Portugal;2;125;ISO9001,LEED;AusteniticStainlessSteel;Shaping;ShaperMachine;2019-02-01;2019-04-15
491;Wiegand, Little and Stiedemann;Wola Sernicka;Poland;3;50;MIL,ISO9002,QS9000;StainlessSteel_304;WireEDM;EDMMachine;2019-01-01;2019-03-15
902;Nikolaus-Batz;Boucinhas;Portugal;9;75;ISO9002,AS9100;HighAlloySteel;PrecisionMilling;ComputerControlledMachineTool;2019-02-01;2019-04-15
100;Kerluke Inc;Wilga;Poland;1;75;ISO9003,QS9000;CompactedGraphiteIron;ElectricalDischargeMachining;EDMMachine;2019-01-01;2019-03-15
913;Lowe, Schowalter and Bartoletti;Pont-Audemer;France;2;100;ISO9001,ISO9000;HighAlloySteel;SinkerEDM;EDMMachine;2019-02-15;2019-05-01
510;O'Kon-Wiegand;Chaumont;France;10;100;AS9100,AS9000;MalleableIron;HorizontalMilling;HorizontalMillingMachine;2019-01-01;2019-03-15
270;Hand-Gislason;Carpiquet;France;5;75;ISO9000,QS9000;LowAlloySteel;LaserBeamCutting;LaserCuttingMachine;2019-01-01;2019-03-15
