PC_1;247;Heathcote Inc;Créteil;France;3;125;ISO14000,QS9000;StainlessSteel;Shaping;ShaperMachine;2019-02-15;2019-05-01
PC_2;117;Collier, Cassin and Hickle;Gondar;Portugal;4;125;ISO9001,MIL,ISO9002;AusteniticStainlessSteel;LaserBeamCutting;LaserCuttingMachine;2019-01-15;2019-04-01
PC_3;698;Batz-Hickle;Husów;Poland;8;75;ISO9003,QS9000,ISO9004;HighAlloySteel;PrecisionMilling;ComputerControlledMachineTool;2019-01-01;2019-03-15
PC_4;897;Wyman-Schaefer;Sande São Lourenço;Portugal;8;100;ISO9001,ISO9002,AS9000;CompactedGraphiteIron;Milling;MillingMachine;2019-01-15;2019-04-01
PC_5;914;Senger LLC;Obryte;Poland;6;100;ISO9002,ISO14000,ISO9004;CastIron;HorizontalMilling;HorizontalMillingMachine;2019-03-01;2019-05-15
PC_6;745;Hilll Group;Karpacz;Poland;1;100;ISO9000,MIL,AS9100;MalleableIron;GearHobbing;GearShaperMachine;2019-02-15;2019-05-01
PC_7;501;Kuhic-Schultz;Mantes-la-Jolie;France;10;100;MIL,ISO9000,AS9000;HighCarbonSteel;ElectricalDischargeMachining;EDMMachine;2019-02-15;2019-05-01
PC_8;959;Brekke Inc;Bobigny;France;10;50;LEED,ISO9004,AS9000;HighAlloySteel;LaserBeamCutting;LaserCuttingMachine;2019-02-15;2019-05-01
PC_9;815;Fisher, Harris and Dach;Braga;Portugal;5;75;ISO9000,ISO9003;CompactedGraphiteIron;SinkerEDM;EDMMachine;2019-01-15;2019-04-01
PC_10;365;Morar-Hegmann;Ryjewo;Poland;3;125;ISO9001,ISO14000,ISO9004;CarbonSteel;GearHobbing;GearShaperMachine;2019-03-01;2019-05-15
PC_11;869;Powlowski and Sons;Caen;France;5;150;LEED,AS9100;AusteniticStainlessSteel;ElectricalDischargeMachining;EDMMachine;2019-02-01;2019-04-15
PC_12;805;Macejkovic, Rosenbaum and Koch;Quintães;Portugal;6;50;MIL,ISO9000,AS9000;Steel;Milling;MillingMachine;2019-01-01;2019-03-15
PC_13;208;Corkery, Gutkowski and Dickinson;Bobowa;Poland;1;125;ISO14000,QS9000;StainlessSteel_302;HorizontalMilling;HorizontalMillingMachine;2019-03-01;2019-05-15
PC_14;608;Labadie-Krajcik;Poitiers;France;3;50;ISO9001,QS9000,AS9000;StainlessSteel_304;WireEDM;EDMMachine;2019-02-15;2019-05-01
PC_15;495;Hintz, Vandervort and Ruecker;Água Retorta;Portugal;5;75;ISO9001,ISO9003,ISO9004;MalleableIron;VerticalMilling;VerticalMillingMachine;2019-03-01;2019-05-15
PC_16;472;Tillman Inc;Brest;France;4;125;ISO14000,AS9100;MartensiticStainlessSteel;CNCTurning;CNCTurnMachine;2019-02-01;2019-04-15
PC_17;232;Corwin-Langosh;Maromme;France;6;50;LEED,AS9100,AS9000;CastIron;Milling;MillingMachine;2019-01-15;2019-04-01
PC_18;578;Treutel, Pagac and Jakubowski;London;United Kingdom;1;125;ISO9001,ISO9000,ISO9004;StainlessSteel_400;WaterJetCutting;WaterJetCuttingMachine;2019-01-01;2019-03-15
PC_19;604;Anderson, Nader and Block;Brive-la-Gaillarde;France;10;75;ISO9000,ISO14000,AS9100;MartensiticStainlessSteel;GearHobbing;GearShaperMachine;2019-02-01;2019-04-15
PC_20;754;Paucek, Monahan and Stokes;Leitões;Portugal;5;100;ISO9001,ISO9003,ISO9004;Steel;CNCMilling;ComputerControlledMachineTool;2019-01-15;2019-04-01
PC_21;173;Funk-Rogahn;Łąka Prudnicka;Poland;7;100;MIL,ISO9002,QS9000;MalleableIron;CNCTurning;CNCTurnMachine;2019-01-01;2019-03-15
PC_22;714;Ziemann-Yundt;Brzeźnica;Poland;9;150;LEED,ISO9004;CastIron;Shaping;ShaperMachine;2019-01-01;2019-03-15
PC_23;758;Leuschke-Green;Żarów;Poland;8;150;ISO9002,AS9100,ISO9004;Steel;LaserBeamCutting;LaserCuttingMachine;2019-01-15;2019-04-01
