PROCESS_CHAIN_1;Ryan Inc;France;Clermont-Ferrand;14;8;Machining;OBJ;1;549;568;369;61;Titanium;Blasting;30.06.2019;27.06.2019
PROCESS_CHAIN_2;Moore-Mueller;France;Perpignan;22;5;Machining;OBJ;0;407;690;722;36;Aluminium;Sanding;13.07.2019;04.10.2018
PROCESS_CHAIN_3;Blanda, Kemmer and Kuhic;France;Paris 01;45;10;Machining;STL;0;632;505;207;37;Hardwood;Welding;13.06.2019;28.12.2018
PROCESS_CHAIN_4;Smith Inc;Portugal;Louriceira;21;2;Machining;VRML/X3D;1;243;508;523;81;Carbon steel;Welding;18.07.2019;26.11.2018
PROCESS_CHAIN_5;Von, Fritsch and Waters;France;Paris 14;29;5;Machining;STEP;0;412;576;423;66;Hardwood;Blasting;21.07.2019;05.12.2018
PROCESS_CHAIN_6;Rolfson-Schumm;Portugal;Estoril;41;1;Machining;OBJ;0;489;496;44;52;Alloy;Polishing;23.06.2019;17.08.2019
PROCESS_CHAIN_7;Murray and Sons;Portugal;Trinaterra;24;4;Machining;OBJ;1;414;562;340;45;Carbon steel;Sanding;08.07.2019;28.04.2019
PROCESS_CHAIN_8;Oberbrunner, Mills and Stark;Portugal;Oliveira;32;6;Machining;COLLADA;1;483;465;403;22;Tungsten carbide;Drilling;26.06.2019;16.11.2018
PROCESS_CHAIN_9;Dach, Purdy and Baumbach;Portugal;Moutas;48;3;Machining;STL;1;495;382;378;67;Tungsten;Turning;01.07.2019;10.08.2019
PROCESS_CHAIN_10;Deckow-Tremblay;Poland;Lelkowo;17;1;Machining;VRML/X3D;1;430;387;219;76;Alloy;Welding;18.07.2019;13.11.2019
