PC_671;630;Abernathy_LLC;Antes;Portugal;9;125;ISO9000,ISO14000,AS9000;IND1_MediumCarbonSteel;IND1_CNCMilling;IND1_ComputerControlledMachineTool;01.01.2019;15.03.2019
PC_387;360;Abernathy_Quigley_and_Hermann;Lubasz;Poland;10;100;ISO9002,ISO14000,AS9100;IND2_CompactedGraphiteIron;IND2_WireEDM;IND2_EDMMachine;01.02.2019;15.04.2019
PC_711;628;Abshire_Group;Płońsk;Poland;3;50;LEED,QS9000;IND3_LowCarbonSteel;IND3_LaserBeamCutting;IND3_LaserCuttingMachine;01.02.2019;15.04.2019
PC_407;500;Abshire_LLC;Vale Maceiras;Portugal;10;100;ISO9003,AS9100,ISO9004;IND4_HighCarbonSteel;IND4_ElectricalDischargeMachining;IND4_EDMMachine;01.02.2019;15.04.2019
PC_674;500;Abshire_LLC;Vale Maceiras;Portugal;10;150;ISO9003,AS9100,ISO9004;IND5_CompactedGraphiteIron;IND5_SinkerEDM;IND5_EDMMachine;15.02.2019;01.05.2019
PC_53;609;Adams_Murazik;Carpiquet;France;6;50;ISO9003,LEED,AS9100;IND6_WhiteIron;IND6_SinkerEDM;IND6_EDMMachine;15.01.2019;01.04.2019
PC_441;470;Adams_Ryan;Calhetas;Portugal;1;125;ISO9003,ISO14000;IND7_StainlessSteel_400;IND7_Milling;IND7_MillingMachine;15.02.2019;01.05.2019
PC_19;604;Anderson_Nader_and_Block;Brive-la-Gaillarde;France;10;75;ISO9000,ISO14000,AS9100;IND8_MartensiticStainlessSteel;IND8_GearHobbing;IND8_GearShaperMachine;01.02.2019;15.04.2019
PC_239;604;Anderson_Nader_and_Block;Brive-la-Gaillarde;France;10;150;ISO9000,ISO14000,AS9100;IND9_GrayIron;IND9_Planing;IND9_ShaperMachine;01.02.2019;15.04.2019
PC_708;604;Anderson_Nader_and_Block;Brive-la-Gaillarde;France;10;75;ISO9000,ISO14000,AS9100;IND10_MediumCarbonSteel;IND10_GearHobbing;IND10_GearShaperMachine;01.01.2019;15.03.2019
PC_380;440;Ankunding_Inc;Bielice;Poland;2;50;ISO9002,AS9100,AS9000;IND11_HighCarbonSteel;IND11_CNCMilling;IND11_ComputerControlledMachineTool;15.02.2019;01.05.2019
PC_754;440;Ankunding_Inc;Bielice;Poland;2;50;ISO9002,AS9100,AS9000;IND12_MartensiticStainlessSteel;IND12_WaterJetCutting;IND12_WaterJetCuttingMachine;15.02.2019;01.05.2019
PC_744;454;Armstrong_Leannon;Tuchomie;Poland;1;125;ISO9002,ISO9004;IND13_StainlessSteel_316;IND13_Shaping;IND13_ShaperMachine;15.02.2019;01.05.2019
PC_840;687;Auer_and_Sons;Vila Nova de Santo André;Portugal;5;100;ISO9002,AS9100;IND14_HighAlloySteel;IND14_HoleMaking;IND14_EDMDrillingMachine;15.01.2019;01.04.2019
