PROCESS_CHAIN_1;Ryan Inc;France;Clermont-Ferrand;14;8;Machining;VRML/X3D;1;549;568;369;94;Carbon steel;Drilling;2019-06-30;2019-06-27
PROCESS_CHAIN_2;Moore-Mueller;France;Perpignan;22;5;Machining;STL;0;407;690;722;28;Nickel alloy;Drilling;2019-07-13;2018-10-04
PROCESS_CHAIN_3;Blanda, Kemmer and Kuhic;France;Paris 01;45;10;Machining;STEP;1;632;505;207;28;Alloy;Chemical curing;2019-06-13;2018-12-28
PROCESS_CHAIN_4;Smith Inc;Portugal;Louriceira;21;2;Machining;VRML/X3D;1;243;508;523;64;Stainless steel;Polishing;2019-07-18;2018-11-26
PROCESS_CHAIN_5;Von, Fritsch and Waters;France;Paris 14;29;5;Machining;IGES;1;412;576;423;90;Aluminium;Polishing;2019-07-21;2018-12-05
PROCESS_CHAIN_6;Rolfson-Schumm;Portugal;Estoril;41;1;Machining;VRML/X3D;0;489;496;44;63;Stainless steel;Drilling;2019-06-23;2019-08-17
PROCESS_CHAIN_7;Murray and Sons;Portugal;Trinaterra;24;4;Machining;VRML/X3D;1;414;562;340;79;Aluminium;Chemical curing;2019-07-08;2019-04-28
PROCESS_CHAIN_8;Oberbrunner, Mills and Stark;Portugal;Oliveira;32;6;Machining;STL;0;483;465;403;98;Aluminium;Turning;2019-06-26;2018-11-16
PROCESS_CHAIN_9;Dach, Purdy and Baumbach;Portugal;Moutas;48;3;Machining;STL;1;495;382;378;75;Stainless steel;Welding;2019-07-01;2019-08-10
PROCESS_CHAIN_10;Deckow-Tremblay;Poland;Lelkowo;17;1;Machining;OBJ;0;430;387;219;90;Iron;Drilling;2019-07-18;2019-11-13
